region_name,Shape *,SOURCE_ID,TFR,female_workers,foreigner_households,childcare_centers,population_density,net_migration_rate,local_population_growth,foreign_marriage_rate,Shape_Length,Shape_Area,Intercept,Std. Error (INTRCPT),Pseudo-T (INTRCPT),Significance (INTRCPT),Coefficient (FEMALE_WORKERS),Std. Error (FEMALE_WORKERS),Pseudo-T (FEMALE_WORKERS),Significance (FEMALE_WORKERS),Coefficient (FOREIGNER_HOUSEHOLDS),Std. Error (FOREIGNER_HOUSEHOLDS),Pseudo-T (FOREIGNER_HOUSEHOLDS),Significance (FOREIGNER_HOUSEHOLDS),Coefficient (CHILDCARE_CENTERS),Std. Error (CHILDCARE_CENTERS),Pseudo-T (CHILDCARE_CENTERS),Significance (CHILDCARE_CENTERS),Coefficient (POPULATION_DENSITY),Std. Error (POPULATION_DENSITY),Pseudo-T (POPULATION_DENSITY),Significance (POPULATION_DENSITY),Coefficient (NET_MIGRATION_RATE),Std. Error (NET_MIGRATION_RATE),Pseudo-T (NET_MIGRATION_RATE),Significance (NET_MIGRATION_RATE),Coefficient (LOCAL_POPULATION_GROWTH),Std. Error (LOCAL_POPULATION_GROWTH),Pseudo-T (LOCAL_POPULATION_GROWTH),Significance (LOCAL_POPULATION_GROWTH),Coefficient (FOREIGN_MARRIAGE_RATE),Std. Error (FOREIGN_MARRIAGE_RATE),Pseudo-T (FOREIGN_MARRIAGE_RATE),Significance (FOREIGN_MARRIAGE_RATE),Predicted (TFR),Residual,Std Residual,Influence,Cook's D,Condition Number,Local R-Squared,Number of Neighbors
Sokcho-si,Polygon,1,0.761,12,479,17.6,390.421311,-0.866199,0.003326,0.045886,44078.53209,110103062.8,1.177834,0.181375,6.493908,1,-0.001019,0.000772,-1.320313,0,-0.000025,0.000016,-1.584818,0,0.007343,0.009899,0.741823,0,-0.000035,0.000011,-3.130544,1,0.007459,0.0259,0.287989,0,-3.772982,5.82978,-0.647191,0,-5.108984,1.484178,-3.4423,1,1.015804,-0.254804,-1.992836,0.129201,0.012,43124956.22,0.525005,63
Yangyang-gun,Polygon,3,0.824,5,165,13.1,23.818499,0.85112,0.006088,0.0625,113092.6146,643293586,1.142723,0.190488,5.998908,1,-0.000508,0.000901,-0.564251,0,-0.000037,0.000019,-1.926615,0,0.00696,0.010093,0.689604,0,-0.000035,0.000012,-2.896922,1,0.003003,0.025874,0.116064,0,-3.41334,5.791132,-0.589408,0,-4.465645,1.363442,-3.275273,1,0.927097,-0.103097,-0.964465,0.391351,0.01218,30559206.63,0.476038,63
Gangneung-si,Polygon,4,0.846,53.3,1552,17.6,99.593679,-0.789915,0.003193,0.046888,168826.331,1078675749,1.14663,0.184555,6.212958,1,0.000183,0.000878,0.208493,0,-0.000044,0.000023,-1.858887,0,0.001947,0.009966,0.19537,0,-0.000042,0.000014,-3.028669,1,0.00264,0.027924,0.094537,0,-4.091558,5.604643,-0.73003,0,-3.15293,1.196387,-2.635375,0,0.955892,-0.109892,-0.897448,0.201333,0.004135,16438128.83,0.391568,63
Donghae-si,Polygon,5,0.949,19.3,338,20.9,239.365167,-0.844076,0.002543,0.07635,68430.71541,194350239.2,1.182389,0.162526,7.275053,1,0.000016,0.00058,0.027464,0,-0.000034,0.000023,-1.47145,0,-0.004445,0.008834,-0.503176,0,-0.000059,0.000021,-2.784146,1,0.020691,0.029464,0.702227,0,-5.244881,5.48192,-0.95676,0,-1.743254,1.13799,-1.531871,0,0.900312,0.048688,0.379942,0.125294,0.000421,13100745.87,0.383861,63
Samcheok-si,Polygon,6,1.201,15.8,296,20.8,28.354831,-1.163205,-0.000445,0.056555,179041.8137,1196028224,1.197271,0.1542,7.764415,1,-0.000166,0.000429,-0.385986,0,-0.000015,0.000019,-0.804332,0,-0.008813,0.008377,-1.05197,0,-0.000112,0.000066,-1.704005,0,0.0381,0.030257,1.259225,0,-5.665259,5.349724,-1.058982,0,-0.726558,1.142653,-0.635851,0,0.920883,0.280117,2.229564,0.159212,0.019169,13461005.78,0.406955,63
Taebaek-si,Polygon,7,0.698,7,118,20.7,67.173232,-2.03661,0.002608,0.068376,94156.0058,310739824,1.232198,0.156617,7.867584,1,-0.000191,0.000386,-0.494957,0,-0.000012,0.000016,-0.721793,0,-0.012275,0.008639,-1.420949,0,-0.000088,0.000053,-1.670068,0,0.041836,0.029786,1.404541,0,-5.443908,5.247434,-1.037442,0,-0.373885,1.147232,-0.325902,0,0.844501,-0.146501,-1.271106,0.292436,0.013599,14118641.18,0.426371,63
Uljin-gun,Polygon,8,1.053,10,314,14.2,25.672305,0.317311,0.002553,0.055147,166209.5607,998686773,1.166689,0.149422,7.808023,1,-0.000143,0.000465,-0.306986,0,0,0.000017,-0.022188,0,-0.011126,0.008028,-1.385887,0,-0.000058,0.00004,-1.439632,0,0.066377,0.030838,2.152458,0,-6.472465,4.926004,-1.313938,0,0.330443,1.162909,0.284152,0,1.028428,0.024572,0.201605,0.208728,0.000218,16599166.95,0.481737,63
Yeongdeok-gun,Polygon,9,0.864,22,306,13.3,26.497851,-0.481622,-0.00081,0.068027,127687.7193,748129773.2,1.185657,0.162422,7.299875,1,-0.000011,0.00052,-0.02196,0,-0.000006,0.000018,-0.355673,0,-0.017025,0.008495,-2.004031,0,-0.000058,0.000019,-2.995372,1,0.059458,0.027113,2.192988,0,-2.042951,4.714258,-0.433356,0,1.339356,1.095268,1.222856,0,1.019624,-0.155624,-1.290712,0.225638,0.009886,20798164.92,0.557084,63
Pohang-si,Polygon,10,0.848,255,1970,17,206.546058,-0.909666,0.006718,0.045537,228648.7799,1148390936,1.1308,0.140004,8.076896,1,0.000149,0.000471,0.315991,0,-0.000012,0.000015,-0.78998,0,-0.021253,0.007946,-2.674696,1,-0.000055,0.000012,-4.644896,1,0.022581,0.024521,0.920864,0,4.140552,4.296491,0.963705,0,2.231661,0.981106,2.274639,0,0.882252,-0.034252,-0.425786,0.655293,0.007018,23358014.02,0.641088,63
Gyeongju-si,Polygon,11,0.909,21,5764,16.5,94.367936,-0.541031,0.004435,0.06212,188442.4733,1299889713,1.096589,0.136932,8.008265,1,0.000233,0.000448,0.51979,0,-0.000012,0.000014,-0.829935,0,-0.021228,0.008105,-2.619261,0,-0.000053,0.000012,-4.567378,1,0.009184,0.024072,0.381521,0,6.178524,4.168427,1.48222,0,2.201078,0.979148,2.247954,0,0.83814,0.07086,0.612396,0.286839,0.003072,23139590.67,0.656103,63
Yangsan-si,Polygon,12,0.93,21,2191,16.7,558.369344,-2.960223,0.00817,0.027964,54552.2306,159217640.5,1.073059,0.139031,7.718136,1,0.000274,0.000443,0.619497,0,-0.000011,0.000014,-0.79268,0,-0.020441,0.008197,-2.493524,0,-0.000051,0.000012,-4.350923,1,0.002939,0.024018,0.122378,0,6.806395,4.204982,1.61865,0,2.068251,1.006641,2.054608,0,0.789608,0.140392,1.304499,0.383056,0.021517,24652807.09,0.647645,63
Inje-gun,Polygon,13,0.806,50,2763,19.2,326.017263,1.00353,0.017595,0.051684,99216.58445,492592477.1,1.041473,0.138755,7.505815,1,0.000371,0.000444,0.835821,0,-0.000011,0.000014,-0.83102,0,-0.017068,0.007986,-2.137101,0,-0.00005,0.000012,-4.307573,1,0.001599,0.022983,0.069558,0,7.170729,3.95292,1.814033,0,1.36657,0.985776,1.386289,0,0.88292,-0.07692,-0.611883,0.158237,0.001433,21828037.95,0.619066,63
Pyeongchang-gun,Polygon,14,1.355,5,250,16.6,10.241721,-0.583785,0.00938,0.033898,215129.0311,1626308488,1.20961,0.172707,7.003818,1,-0.001379,0.000693,-1.991131,0,-0.000017,0.000014,-1.196887,0,0.005284,0.009669,0.54653,0,-0.000035,0.00001,-3.381147,1,0.004406,0.024276,0.181512,0,-3.141564,5.497024,-0.571503,0,-4.989497,1.528202,-3.264947,1,1.0847,0.2703,2.339673,0.289066,0.045326,48958613.44,0.564442,63
Jeongseon-gun,Polygon,15,0.754,8,322,17.5,15.026031,0.331924,0.00301,0.092511,206794.0196,1443592900,1.121833,0.184302,6.086941,1,0.000113,0.000614,0.184755,0,-0.000032,0.000018,-1.751038,0,0.000461,0.010121,0.045566,0,-0.00004,0.000011,-3.595919,1,-0.006972,0.024051,-0.289891,0,-2.877541,5.049118,-0.56991,0,-2.542544,1.232565,-2.062807,0,0.873711,-0.119711,-0.972873,0.1935,0.004624,18076701.8,0.400016,63
Yanggu-gun,Polygon,16,0.971,7,144,18.9,15.819649,-2.016903,-0.012594,0.06044,182243.6466,1196381166,1.201924,0.163495,7.351448,1,0.000032,0.000487,0.065532,0,-0.000025,0.000018,-1.376203,0,-0.007263,0.009157,-0.793079,0,-0.000052,0.000015,-3.41004,1,0.014904,0.02734,0.545124,0,-4.510041,5.182823,-0.87019,0,-1.444208,1.153089,-1.252469,0,0.999901,-0.028901,-0.263767,0.360523,0.000799,14206954.96,0.386601,63
Hwacheon-gun,Polygon,17,1.278,4,231,16.3,15.141811,-2.371017,-0.006127,0.044586,128523.3836,719166588.8,1.305378,0.154243,8.463125,1,-0.001843,0.000639,-2.882803,1,-0.000002,0.000011,-0.14758,0,0.000227,0.008886,0.025567,0,-0.000038,0.000009,-4.075969,1,0.000375,0.023632,0.01587,0,-2.053684,5.340818,-0.384526,0,-5.199104,1.58012,-3.290322,1,1.080649,0.197351,1.659114,0.246341,0.018323,70603266.35,0.65125,63
Chuncheon-si,Polygon,18,1.271,4,148,20.1,13.306834,-2.804514,-0.005118,0.024242,152343.2547,1035494978,1.379673,0.146387,9.424806,1,-0.001762,0.000603,-2.922419,1,0.000004,0.000008,0.437421,0,-0.006707,0.008141,-0.823886,0,-0.000042,0.000009,-4.927326,1,-0.007266,0.019658,-0.369615,0,-0.199025,4.439025,-0.044835,0,-4.511449,1.573455,-2.867226,1,1.149819,0.121181,1.191623,0.449141,0.023577,76753254.61,0.72829,63
Dongducheon-si,Polygon,19,0.789,15,1848,18.3,121.467311,0.492996,0.013691,0.04175,197369.5023,1125704584,1.358571,0.14244,9.537871,1,-0.001749,0.000575,-3.044194,1,0.000002,0.000008,0.282812,0,-0.009769,0.007792,-1.253828,0,-0.00004,0.000008,-5.098434,1,-0.006715,0.017337,-0.387349,0,-0.406462,3.924731,-0.103564,0,-3.030726,1.526115,-1.985909,0,1.017487,-0.228487,-1.915868,0.242402,0.023917,55106017.6,0.726094,63
Pocheon-si,Polygon,20,0.661,37,1218,32.5,452.105922,-5.504312,-0.013804,0.101449,40349.96176,91630676.82,0.952238,0.133188,7.149589,1,-0.000075,0.000215,-0.348228,0,0.000004,0.000004,1.179153,0,0.000186,0.007694,0.024131,0,-0.000032,0.000006,-5.263322,1,0.008654,0.0147,0.588684,0,-0.815709,3.307012,-0.24666,0,-2.842025,1.725023,-1.647528,0,0.621716,0.039284,0.41246,0.516807,0.003706,55456843.46,0.669827,63
Hongcheon-gun,Polygon,21,0.783,73,4382,24,88.247902,-3.302871,-0.007653,0.093168,157259.7039,820724458.8,1.057408,0.131842,8.020284,1,-0.000317,0.000248,-1.274827,0,0.000004,0.000004,1.042508,0,-0.002193,0.007628,-0.287536,0,-0.000036,0.000006,-5.959115,1,0.001305,0.014583,0.089504,0,0.184968,3.286007,0.05629,0,-3.106787,1.651851,-1.880791,0,0.70133,0.08167,0.696213,0.267014,0.003596,55609682.88,0.719092,63
Gapyeong-gun,Polygon,22,1.118,13,446,22.1,19.034047,-0.390241,0.002434,0.090293,279287.0625,1834139849,1.215056,0.163693,7.422789,1,-0.001331,0.000632,-2.104677,0,-0.000012,0.000012,-1.004613,0,-0.001303,0.008795,-0.148147,0,-0.000035,0.000009,-3.977719,1,-0.005111,0.01886,-0.270975,0,-1.905258,4.437844,-0.429321,0,-3.063598,1.439371,-2.128428,0,0.883638,0.234362,1.944015,0.225849,0.022453,39770386.87,0.585564,63
Hoengseong-gun,Polygon,23,0.723,11,410,22.8,38.782501,2.198982,0.014499,0.067669,151311.1793,831431320.8,1.100509,0.139205,7.905679,1,-0.000675,0.000434,-1.554124,0,0.000004,0.000005,0.691939,0,-0.004903,0.00776,-0.631786,0,-0.000036,0.000007,-5.365629,1,-0.001333,0.015201,-0.087699,0,0.446568,3.393442,0.131597,0,-2.411112,1.595027,-1.511643,0,0.821829,-0.098829,-0.787814,0.161761,0.002439,49949446.1,0.712791,63
Yangpyeong-gun,Polygon,24,0.924,9,450,21.8,23.982105,1.166973,0.005933,0.104348,176901.9958,992131500.5,1.107199,0.180564,6.131894,1,-0.000309,0.000439,-0.702619,0,-0.000017,0.000012,-1.422908,0,-0.004644,0.009956,-0.46648,0,-0.000037,0.000009,-3.980689,1,-0.017876,0.019723,-0.90634,0,-0.601246,4.456538,-0.134913,0,-0.986051,1.510555,-0.652774,0,0.867189,0.056811,0.512073,0.344389,0.002805,29887570.86,0.514183,63
Gwangju-si,Polygon,25,0.897,46,631,14.6,70.496926,5.822588,0.033836,0.057018,161525.6152,873215995.9,0.905871,0.162311,5.581101,1,-0.00024,0.000527,-0.455537,0,-0.000002,0.000007,-0.233892,0,-0.006211,0.00825,-0.75285,0,-0.000029,0.000007,-3.863679,1,0.002479,0.016249,0.15258,0,0.829773,3.720885,0.223004,0,0.695839,1.658302,0.419609,0,0.883325,0.013675,0.1251,0.363474,0.000182,40286653.75,0.669505,63
Wonju-si,Polygon,26,0.783,111,4992,17.9,397.323194,4.724881,0.002041,0.055784,106686.0543,422868722.2,0.962618,0.152573,6.309239,1,-0.000166,0.000273,-0.608558,0,0.000003,0.000004,0.959309,0,-0.002569,0.007912,-0.324737,0,-0.000029,0.000006,-4.589785,1,0.006149,0.015369,0.400119,0,0.306453,3.419168,0.089628,0,-2.261791,1.799735,-1.256736,0,0.807327,-0.024327,-0.247071,0.483616,0.001164,46249855.21,0.658955,63
Yeongwol-gun,Polygon,27,0.873,65,2003,16.5,197.562692,0.790542,0.014933,0.044664,174902.0148,872875805.3,1.005016,0.19712,5.098493,1,-0.000036,0.000318,-0.113672,0,-0.000007,0.000008,-0.898084,0,-0.009733,0.010355,-0.939941,0,-0.000035,0.000009,-3.714439,1,-0.010299,0.018693,-0.550961,0,1.302239,4.297225,0.303042,0,0.847254,1.591398,0.532396,0,0.869671,0.003329,0.028296,0.262701,0.000006,35870505.71,0.601642,63
